Candidate,County Name,Mode,Office,Party,State,State Po,Version,Year,Candidatevotes,County Fips,Totalvotes
GEORGE W. BUSH,NORTHAMPTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,62102,42095,126740
OTHER,NORTHAMPTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1192,42095,126740
JOHN KERRY,NORTHUMBERLAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,14602,42097,37134
GEORGE W. BUSH,NORTHUMBERLAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,22262,42097,37134
OTHER,NORTHUMBERLAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,270,42097,37134
JOHN KERRY,PERRY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,5423,42099,19427
GEORGE W. BUSH,PERRY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,13919,42099,19427
OTHER,PERRY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,85,42099,19427
JOHN KERRY,PHILADELPHIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,542205,42101,674069
GEORGE W. BUSH,PHILADELPHIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,130099,42101,674069
OTHER,PHILADELPHIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1765,42101,674069
JOHN KERRY,PIKE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,8656,42103,21299
GEORGE W. BUSH,PIKE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,12444,42103,21299
OTHER,PIKE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,199,42103,21299
JOHN KERRY,POTTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,2268,42105,7962
GEORGE W. BUSH,POTTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,5640,42105,7962
OTHER,POTTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,54,42105,7962
JOHN KERRY,SCHUYLKILL,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,29231,42107,65269
GEORGE W. BUSH,SCHUYLKILL,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,35640,42107,65269
OTHER,SCHUYLKILL,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,398,42107,65269
JOHN KERRY,SNYDER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,4348,42109,14983
GEORGE W. BUSH,SNYDER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,10566,42109,14983
OTHER,SNYDER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,69,42109,14983
JOHN KERRY,SOMERSET,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,12842,42111,36778
GEORGE W. BUSH,SOMERSET,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,23802,42111,36778
OTHER,SOMERSET,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,134,42111,36778
JOHN KERRY,SULLIVAN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,1213,42113,3285
GEORGE W. BUSH,SULLIVAN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,2056,42113,3285
OTHER,SULLIVAN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,16,42113,3285
JOHN KERRY,SUSQUEHANNA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,7351,42115,19040
GEORGE W. BUSH,SUSQUEHANNA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,11573,42115,19040
OTHER,SUSQUEHANNA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,116,42115,19040
JOHN KERRY,TIOGA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,5437,42117,17571
GEORGE W. BUSH,TIOGA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,12019,42117,17571
OTHER,TIOGA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,115,42117,17571
JOHN KERRY,UNION,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,5700,42119,16123
GEORGE W. BUSH,UNION,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,10334,42119,16123
OTHER,UNION,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,89,42119,16123
JOHN KERRY,VENANGO,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,9024,42121,23659
GEORGE W. BUSH,VENANGO,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,14472,42121,23659
OTHER,VENANGO,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,163,42121,23659
JOHN KERRY,WARREN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,8044,42123,19273
GEORGE W. BUSH,WARREN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,10999,42123,19273
OTHER,WARREN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,230,42123,19273
JOHN KERRY,WASHINGTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,48225,42125,96177
GEORGE W. BUSH,WASHINGTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,47673,42125,96177
OTHER,WASHINGTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,279,42125,96177
JOHN KERRY,WAYNE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,8060,42127,21967
GEORGE W. BUSH,WAYNE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,13713,42127,21967
OTHER,WAYNE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,194,42127,21967
JOHN KERRY,WESTMORELAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,77774,42129,178696
GEORGE W. BUSH,WESTMORELAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,100087,42129,178696
OTHER,WESTMORELAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,835,42129,178696
JOHN KERRY,WYOMING,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,4982,42131,12832
GEORGE W. BUSH,WYOMING,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,7782,42131,12832
OTHER,WYOMING,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,68,42131,12832
JOHN KERRY,YORK,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,2,63701,42133,179269
GEORGE W. BUSH,YORK,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,2,114270,42133,179269
OTHER,YORK,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,2,1298,42133,179269
BARACK OBAMA,ADAMS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,17633,42001,44489
JOHN MCCAIN,ADAMS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,26349,42001,44489
OTHER,ADAMS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,507,42001,44489
BARACK OBAMA,ALLEGHENY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,373153,42003,651380
JOHN MCCAIN,ALLEGHENY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,272347,42003,651380
OTHER,ALLEGHENY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,5880,42003,651380
BARACK OBAMA,ARMSTRONG,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,11138,42005,30072
JOHN MCCAIN,ARMSTRONG,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,18542,42005,30072
OTHER,ARMSTRONG,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,392,42005,30072
BARACK OBAMA,BEAVER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,40499,42007,84463
JOHN MCCAIN,BEAVER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,42895,42007,84463
OTHER,BEAVER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1069,42007,84463
BARACK OBAMA,BEDFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,6059,42009,22441
JOHN MCCAIN,BEDFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,16124,42009,22441
OTHER,BEDFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,258,42009,22441
BARACK OBAMA,BERKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,97047,42011,179896
JOHN MCCAIN,BERKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,80513,42011,179896
OTHER,BERKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,2336,42011,179896
BARACK OBAMA,BLAIR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,19813,42013,53081
JOHN MCCAIN,BLAIR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,32708,42013,53081
OTHER,BLAIR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,560,42013,53081
BARACK OBAMA,BRADFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,10306,42015,25782
JOHN MCCAIN,BRADFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,15057,42015,25782
OTHER,BRADFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,419,42015,25782
BARACK OBAMA,BUCKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,179031,42017,332923
JOHN MCCAIN,BUCKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,150248,42017,332923
OTHER,BUCKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,3644,42017,332923
BARACK OBAMA,BUTLER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,32260,42019,90355
JOHN MCCAIN,BUTLER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,57074,42019,90355
OTHER,BUTLER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1021,42019,90355
BARACK OBAMA,CAMBRIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,32451,42021,65622
JOHN MCCAIN,CAMBRIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,31995,42021,65622
OTHER,CAMBRIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1176,42021,65622
BARACK OBAMA,CAMERON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,879,42023,2311
JOHN MCCAIN,CAMERON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,1323,42023,2311
OTHER,CAMERON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,109,42023,2311
BARACK OBAMA,CARBON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,13464,42025,26919
JOHN MCCAIN,CARBON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,12957,42025,26919
OTHER,CARBON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,498,42025,26919
BARACK OBAMA,CENTRE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,41950,42027,75737
JOHN MCCAIN,CENTRE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,32992,42027,75737
OTHER,CENTRE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,795,42027,75737
BARACK OBAMA,CHESTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,137833,42029,254305
JOHN MCCAIN,CHESTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,114421,42029,254305
OTHER,CHESTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,2051,42029,254305
BARACK OBAMA,CLARION,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,6756,42031,17765
JOHN MCCAIN,CLARION,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,10737,42031,17765
OTHER,CLARION,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,272,42031,17765
BARACK OBAMA,CLEARFIELD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,14555,42033,33774
JOHN MCCAIN,CLEARFIELD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,18662,42033,33774
OTHER,CLEARFIELD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,557,42033,33774
BARACK OBAMA,CLINTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,7097,42035,14793
JOHN MCCAIN,CLINTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,7504,42035,14793
OTHER,CLINTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,192,42035,14793
BARACK OBAMA,COLUMBIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,13230,42037,28041
JOHN MCCAIN,COLUMBIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,14477,42037,28041
OTHER,COLUMBIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,334,42037,28041
BARACK OBAMA,CRAWFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,16780,42039,38074
JOHN MCCAIN,CRAWFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,20750,42039,38074
OTHER,CRAWFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,544,42039,38074
BARACK OBAMA,CUMBERLAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,48306,42041,113298
JOHN MCCAIN,CUMBERLAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,63739,42041,113298
OTHER,CUMBERLAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1253,42041,113298
BARACK OBAMA,DAUPHIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,69975,42043,129526
JOHN MCCAIN,DAUPHIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,58238,42043,129526
OTHER,DAUPHIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1313,42043,129526
BARACK OBAMA,DELAWARE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,169030,42045,281082
JOHN MCCAIN,DELAWARE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,109322,42045,281082
OTHER,DELAWARE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,2730,42045,281082
BARACK OBAMA,ELK,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,7290,42047,14258
JOHN MCCAIN,ELK,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,6676,42047,14258
OTHER,ELK,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,292,42047,14258
BARACK OBAMA,ERIE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,75775,42049,127642
JOHN MCCAIN,ERIE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,50351,42049,127642
OTHER,ERIE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1516,42049,127642
BARACK OBAMA,FAYETTE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,25866,42051,52554
JOHN MCCAIN,FAYETTE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,26081,42051,52554
OTHER,FAYETTE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,607,42051,52554
BARACK OBAMA,FOREST,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,1038,42053,2444
JOHN MCCAIN,FOREST,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,1366,42053,2444
OTHER,FOREST,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,40,42053,2444
BARACK OBAMA,FRANKLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,21169,42055,63635
JOHN MCCAIN,FRANKLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,41906,42055,63635
OTHER,FRANKLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,560,42055,63635
BARACK OBAMA,FULTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,1576,42057,6306
JOHN MCCAIN,FULTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,4642,42057,6306
OTHER,FULTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,88,42057,6306
BARACK OBAMA,GREENE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,7829,42059,15961
JOHN MCCAIN,GREENE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,7889,42059,15961
OTHER,GREENE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,243,42059,15961
BARACK OBAMA,HUNTINGDON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,6621,42061,18646
JOHN MCCAIN,HUNTINGDON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,11745,42061,18646
OTHER,HUNTINGDON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,280,42061,18646
BARACK OBAMA,INDIANA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,17065,42063,37299
JOHN MCCAIN,INDIANA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,19727,42063,37299
OTHER,INDIANA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,507,42063,37299
BARACK OBAMA,JEFFERSON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,6447,42065,18801
JOHN MCCAIN,JEFFERSON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,12057,42065,18801
OTHER,JEFFERSON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,297,42065,18801
BARACK OBAMA,JUNIATA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,3068,42067,9711
JOHN MCCAIN,JUNIATA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,6484,42067,9711
OTHER,JUNIATA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,159,42067,9711
BARACK OBAMA,LACKAWANNA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,67520,42069,107866
JOHN MCCAIN,LACKAWANNA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,39488,42069,107866
OTHER,LACKAWANNA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,858,42069,107866
BARACK OBAMA,LANCASTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,99586,42071,228097
JOHN MCCAIN,LANCASTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,126568,42071,228097
OTHER,LANCASTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1943,42071,228097
BARACK OBAMA,LAWRENCE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,19711,42073,42084
JOHN MCCAIN,LAWRENCE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,21851,42073,42084
OTHER,LAWRENCE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,522,42073,42084
BARACK OBAMA,LEBANON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,23310,42075,58252
JOHN MCCAIN,LEBANON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,34314,42075,58252
OTHER,LEBANON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,628,42075,58252
BARACK OBAMA,LEHIGH,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,87089,42077,152464
JOHN MCCAIN,LEHIGH,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,63382,42077,152464
OTHER,LEHIGH,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1993,42077,152464
BARACK OBAMA,LUZERNE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,72492,42079,135163
JOHN MCCAIN,LUZERNE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,61127,42079,135163
OTHER,LUZERNE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,1544,42079,135163
BARACK OBAMA,LYCOMING,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,18381,42081,49235
JOHN MCCAIN,LYCOMING,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,30280,42081,49235
OTHER,LYCOMING,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,574,42081,49235
BARACK OBAMA,MCKEAN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,6465,42083,15947
JOHN MCCAIN,MCKEAN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,9224,42083,15947
OTHER,MCKEAN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,258,42083,15947
BARACK OBAMA,MERCER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,26411,42085,53796
JOHN MCCAIN,MERCER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,26565,42085,53796
OTHER,MERCER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,820,42085,53796
BARACK OBAMA,MIFFLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,5375,42087,16501
JOHN MCCAIN,MIFFLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,10929,42087,16501
OTHER,MIFFLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,197,42087,16501
BARACK OBAMA,MONROE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,39453,42089,68385
JOHN MCCAIN,MONROE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,28293,42089,68385
OTHER,MONROE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,639,42089,68385
BARACK OBAMA,MONTGOMERY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,253393,42091,422411
JOHN MCCAIN,MONTGOMERY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,165552,42091,422411
OTHER,MONTGOMERY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,3466,42091,422411
BARACK OBAMA,MONTOUR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,3364,42093,8023
JOHN MCCAIN,MONTOUR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,4574,42093,8023
OTHER,MONTOUR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,3,85,42093,8023
BARACK OBAMA,NORTHAMPTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,3,75255,42095,135581
JOHN MCCAIN,NORTHAMPTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,3,58551,42095,135581
